ENST00000380191	chr10	-	5807185	5855512	5807968	5855221	11	5807185,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836982,5838825,5842668,5855512,	GDI2	cmpl	cmpl
ENST00000380132	chr10	-	5807186	5855512	5827828	5855221	10	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836982,5838825,5855512,	GDI2	incmpl	cmpl
ENST00000435969	chr10	-	5807186	5855512	5815804	5855221	11	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836952,5838825,5842668,5855512,	GDI2	incmpl	cmpl
ENST00000380153	chr10	-	5807186	5855512	5808033	5827900	10	5807186,5808203,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5855176,	5808115,5808258,5810347,5815904,5827236,5828013,5836982,5838825,5842668,5855512,	GDI2	cmpl	cmpl
ENST00000380131	chr10	-	5807186	5853893	5807968	5853893	11	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5853836,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836982,5838825,5842668,5853893,	GDI2	cmpl	cmpl
ENST00000479928	chr10	-	5807191	5811352	5811352	5811352	3	5807191,5808203,5810175,	5808115,5808601,5811352,	GDI2	none	none
ENST00000447751	chr10	-	5807811	5827885	5808033	5827885	6	5807811,5808203,5810175,5815804,5827104,5827814,	5808115,5808258,5810347,5815904,5827236,5827885,	GDI2	cmpl	incmpl
ENST00000380181	chr10	-	5807916	5855374	5807968	5855221	10	5807916,5808203,5808456,5810175,5815804,5827104,5827814,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5838825,5842668,5855374,	GDI2	cmpl	cmpl
ENST00000456041	chr10	-	5815804	5855350	5815804	5855221	7	5815804,5827104,5827814,5836847,5838725,5842560,5855176,	5815904,5827236,5828013,5836952,5838825,5842668,5855350,	GDI2	incmpl	cmpl
ENST00000418688	chr10	-	5827828	5855392	5827828	5855221	4	5827828,5836847,5838725,5855176,	5828013,5836982,5838825,5855392,	GDI2	incmpl	cmpl
ENST00000380127	chr10	-	5827968	5884095	5827968	5853893	7	5827968,5836847,5838725,5842560,5853836,5856503,5884029,	5828013,5836982,5838825,5842668,5853919,5856550,5884095,	GDI2	cmpl	cmpl
uc001iil.3	chr10	-	5807186	5855512	5807968	5855221	11	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836982,5838825,5842668,5855512,	GDI2	na	na
uc001iim.3	chr10	-	5807186	5855512	5807968	5855221	10	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5838825,5842668,5855512,	GDI2	na	na
uc009xid.2	chr10	-	5807186	5855512	5807968	5853893	12	5807186,5808203,5808456,5810175,5815804,5827104,5827814,5836847,5838725,5842560,5853836,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5836982,5838825,5842668,5853919,5855512,	GDI2	na	na
NM_001115156	chr10	-	5807185	5855512	5807968	5855221	10	5807185,5808203,5808456,5810175,5815804,5827104,5827814,5838725,5842560,5855176,	5808115,5808258,5808601,5810347,5815904,5827236,5828013,5838825,5842668,5855512,	GDI2	cmpl	cmpl
